name,version,resolved
@adobe/css-tools,4.4.4,https://registry.npmjs.org/@adobe/css-tools/-/css-tools-4.4.4.tgz
@alloc/quick-lru,5.2.0,https://registry.npmjs.org/@alloc/quick-lru/-/quick-lru-5.2.0.tgz
@ampproject/remapping,2.2.1,https://registry.npmjs.org/@ampproject/remapping/-/remapping-2.2.1.tgz
@apideck/better-ajv-errors,0.3.6,https://registry.npmjs.org/@apideck/better-ajv-errors/-/better-ajv-errors-0.3.6.tgz
@atlaskit/adf-schema,48.0.0,https://registry.npmjs.org/@atlaskit/adf-schema/-/adf-schema-48.0.0.tgz
@atlaskit/analytics-next,11.1.3,https://registry.npmjs.org/@atlaskit/analytics-next/-/analytics-next-11.1.3.tgz
@atlaskit/analytics-next-stable-react-context,1.0.1,https://registry.npmjs.org/@atlaskit/analytics-next-stable-react-context/-/analytics-next-stable-react-context-1.0.1.tgz
@atlaskit/app-provider,3.3.2,https://registry.npmjs.org/@atlaskit/app-provider/-/app-provider-3.3.2.tgz
@atlaskit/atlassian-context,0.2.0,https://registry.npmjs.org/@atlaskit/atlassian-context/-/atlassian-context-0.2.0.tgz
@atlaskit/browser-apis,0.0.1,https://registry.npmjs.org/@atlaskit/browser-apis/-/browser-apis-0.0.1.tgz
@atlaskit/button,23.9.4,https://registry.npmjs.org/@atlaskit/button/-/button-23.9.4.tgz
@atlaskit/codemod-utils,4.2.5,https://registry.npmjs.org/@atlaskit/codemod-utils/-/codemod-utils-4.2.5.tgz
@atlaskit/css,0.17.1,https://registry.npmjs.org/@atlaskit/css/-/css-0.17.1.tgz
@atlaskit/css,0.19.1,https://registry.npmjs.org/@atlaskit/css/-/css-0.19.1.tgz
@atlaskit/css-reset,6.16.0,https://registry.npmjs.org/@atlaskit/css-reset/-/css-reset-6.16.0.tgz
@atlaskit/ds-lib,2.7.0,https://registry.npmjs.org/@atlaskit/ds-lib/-/ds-lib-2.7.0.tgz
@atlaskit/ds-lib,3.5.1,https://registry.npmjs.org/@atlaskit/ds-lib/-/ds-lib-3.5.1.tgz
@atlaskit/ds-lib,5.3.0,https://registry.npmjs.org/@atlaskit/ds-lib/-/ds-lib-5.3.0.tgz
@atlaskit/editor-prosemirror,7.2.2,https://registry.npmjs.org/@atlaskit/editor-prosemirror/-/editor-prosemirror-7.2.2.tgz
@atlaskit/feature-gate-js-client,4.26.5,https://registry.npmjs.org/@atlaskit/feature-gate-js-client/-/feature-gate-js-client-4.26.5.tgz
@atlaskit/focus-ring,3.0.9,https://registry.npmjs.org/@atlaskit/focus-ring/-/focus-ring-3.0.9.tgz
@atlaskit/icon,29.4.2,N/A
@atlaskit/interaction-context,3.1.0,https://registry.npmjs.org/@atlaskit/interaction-context/-/interaction-context-3.1.0.tgz
@atlaskit/layering,3.6.0,https://registry.npmjs.org/@atlaskit/layering/-/layering-3.6.0.tgz
@atlaskit/motion,5.3.10,https://registry.npmjs.org/@atlaskit/motion/-/motion-5.3.10.tgz
@atlaskit/platform-feature-flags,0.3.0,N/A
@atlaskit/platform-feature-flags,1.1.1,N/A
@atlaskit/popper,7.1.7,https://registry.npmjs.org/@atlaskit/popper/-/popper-7.1.7.tgz
@atlaskit/portal,5.2.0,https://registry.npmjs.org/@atlaskit/portal/-/portal-5.2.0.tgz
@atlaskit/primitives,17.1.1,https://registry.npmjs.org/@atlaskit/primitives/-/primitives-17.1.1.tgz
@atlaskit/spinner,19.0.9,https://registry.npmjs.org/@atlaskit/spinner/-/spinner-19.0.9.tgz
@atlaskit/theme,16.0.0,https://registry.npmjs.org/@atlaskit/theme/-/theme-16.0.0.tgz
@atlaskit/theme,21.0.4,https://registry.npmjs.org/@atlaskit/theme/-/theme-21.0.4.tgz
@atlaskit/tokens,1.61.0,https://registry.npmjs.org/@atlaskit/tokens/-/tokens-1.61.0.tgz
@atlaskit/tokens,10.0.0,N/A
@atlaskit/tokens,3.3.2,https://registry.npmjs.org/@atlaskit/tokens/-/tokens-3.3.2.tgz
@atlaskit/tokens,8.6.1,https://registry.npmjs.org/@atlaskit/tokens/-/tokens-8.6.1.tgz
@atlaskit/tooltip,20.14.1,https://registry.npmjs.org/@atlaskit/tooltip/-/tooltip-20.14.1.tgz
@atlaskit/visually-hidden,3.0.4,N/A
@babel/code-frame,7.27.1,N/A
@babel/compat-data,7.22.5,https://registry.npmjs.org/@babel/compat-data/-/compat-data-7.22.5.tgz
@babel/core,7.22.5,https://registry.npmjs.org/@babel/core/-/core-7.22.5.tgz
@babel/eslint-parser,7.22.5,https://registry.npmjs.org/@babel/eslint-parser/-/eslint-parser-7.22.5.tgz
@babel/generator,7.28.0,N/A
@babel/helper-annotate-as-pure,7.22.5,https://registry.npmjs.org/@babel/helper-annotate-as-pure/-/helper-annotate-as-pure-7.22.5.tgz
@babel/helper-builder-binary-assignment-operator-visitor,7.22.5,https://registry.npmjs.org/@babel/helper-builder-binary-assignment-operator-visitor/-/helper-builder-binary-assignment-operator-visitor-7.22.5.tgz
@babel/helper-compilation-targets,7.22.5,https://registry.npmjs.org/@babel/helper-compilation-targets/-/helper-compilation-targets-7.22.5.tgz
@babel/helper-create-class-features-plugin,7.22.5,https://registry.npmjs.org/@babel/helper-create-class-features-plugin/-/helper-create-class-features-plugin-7.22.5.tgz
@babel/helper-create-regexp-features-plugin,7.22.5,https://registry.npmjs.org/@babel/helper-create-regexp-features-plugin/-/helper-create-regexp-features-plugin-7.22.5.tgz
@babel/helper-define-polyfill-provider,0.4.0,https://registry.npmjs.org/@babel/helper-define-polyfill-provider/-/helper-define-polyfill-provider-0.4.0.tgz
@babel/helper-environment-visitor,7.22.5,N/A
@babel/helper-function-name,7.22.5,https://registry.npmjs.org/@babel/helper-function-name/-/helper-function-name-7.22.5.tgz
@babel/helper-hoist-variables,7.22.5,https://registry.npmjs.org/@babel/helper-hoist-variables/-/helper-hoist-variables-7.22.5.tgz
@babel/helper-member-expression-to-functions,7.22.5,https://registry.npmjs.org/@babel/helper-member-expression-to-functions/-/helper-member-expression-to-functions-7.22.5.tgz
@babel/helper-module-imports,7.22.5,N/A
@babel/helper-module-transforms,7.22.5,https://registry.npmjs.org/@babel/helper-module-transforms/-/helper-module-transforms-7.22.5.tgz
@babel/helper-optimise-call-expression,7.22.5,https://registry.npmjs.org/@babel/helper-optimise-call-expression/-/helper-optimise-call-expression-7.22.5.tgz
@babel/helper-plugin-utils,7.22.5,https://registry.npmjs.org/@babel/helper-plugin-utils/-/helper-plugin-utils-7.22.5.tgz
@babel/helper-remap-async-to-generator,7.22.5,https://registry.npmjs.org/@babel/helper-remap-async-to-generator/-/helper-remap-async-to-generator-7.22.5.tgz
@babel/helper-replace-supers,7.22.5,https://registry.npmjs.org/@babel/helper-replace-supers/-/helper-replace-supers-7.22.5.tgz
@babel/helper-simple-access,7.22.5,https://registry.npmjs.org/@babel/helper-simple-access/-/helper-simple-access-7.22.5.tgz
@babel/helper-skip-transparent-expression-wrappers,7.22.5,https://registry.npmjs.org/@babel/helper-skip-transparent-expression-wrappers/-/helper-skip-transparent-expression-wrappers-7.22.5.tgz
@babel/helper-split-export-declaration,7.22.5,N/A
@babel/helper-validator-identifier,7.27.1,N/A
@babel/helper-validator-option,7.22.5,https://registry.npmjs.org/@babel/helper-validator-option/-/helper-validator-option-7.22.5.tgz
@babel/helper-wrap-function,7.22.5,https://registry.npmjs.org/@babel/helper-wrap-function/-/helper-wrap-function-7.22.5.tgz
@babel/helpers,7.27.6,https://registry.npmjs.org/@babel/helpers/-/helpers-7.27.6.tgz
@babel/parser,7.28.0,N/A
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.22.5,https://registry.npmjs.org/@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression/-/plugin-bugfix-safari-id-destructuring-collision-in-function-expression-7.22.5.tgz
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.22.5,https://registry.npmjs.org/@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining/-/plugin-bugfix-v8-spread-parameters-in-optional-chaining-7.22.5.tgz
@babel/plugin-proposal-class-properties,7.18.6,https://registry.npmjs.org/@babel/plugin-proposal-class-properties/-/plugin-proposal-class-properties-7.18.6.tgz
@babel/plugin-proposal-decorators,7.22.5,https://registry.npmjs.org/@babel/plugin-proposal-decorators/-/plugin-proposal-decorators-7.22.5.tgz
@babel/plugin-proposal-nullish-coalescing-operator,7.18.6,https://registry.npmjs.org/@babel/plugin-proposal-nullish-coalescing-operator/-/plugin-proposal-nullish-coalescing-operator-7.18.6.tgz
@babel/plugin-proposal-numeric-separator,7.18.6,https://registry.npmjs.org/@babel/plugin-proposal-numeric-separator/-/plugin-proposal-numeric-separator-7.18.6.tgz
@babel/plugin-proposal-optional-chaining,7.21.0,https://registry.npmjs.org/@babel/plugin-proposal-optional-chaining/-/plugin-proposal-optional-chaining-7.21.0.tgz
@babel/plugin-proposal-private-methods,7.18.6,https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.18.6.tgz
@babel/plugin-proposal-private-property-in-object,7.21.0-placeholder-for-preset-env.2,https://registry.npmjs.org/@babel/plugin-proposal-private-property-in-object/-/plugin-proposal-private-property-in-object-7.21.0-placeholder-for-preset-env.2.tgz
@babel/plugin-proposal-private-property-in-object,7.21.11,https://registry.npmjs.org/@babel/plugin-proposal-private-property-in-object/-/plugin-proposal-private-property-in-object-7.21.11.tgz
@babel/plugin-proposal-unicode-property-regex,7.18.6,https://registry.npmjs.org/@babel/plugin-proposal-unicode-property-regex/-/plugin-proposal-unicode-property-regex-7.18.6.tgz
@babel/plugin-syntax-async-generators,7.8.4,https://registry.npmjs.org/@babel/plugin-syntax-async-generators/-/plugin-syntax-async-generators-7.8.4.tgz
@babel/plugin-syntax-bigint,7.8.3,https://registry.npmjs.org/@babel/plugin-syntax-bigint/-/plugin-syntax-bigint-7.8.3.tgz
@babel/plugin-syntax-class-properties,7.12.13,https://registry.npmjs.org/@babel/plugin-syntax-class-properties/-/plugin-syntax-class-properties-7.12.13.tgz
@babel/plugin-syntax-class-static-block,7.14.5,https://registry.npmjs.org/@babel/plugin-syntax-class-static-block/-/plugin-syntax-class-static-block-7.14.5.tgz
@babel/plugin-syntax-decorators,7.22.5,https://registry.npmjs.org/@babel/plugin-syntax-decorators/-/plugin-syntax-decorators-7.22.5.tgz
@babel/plugin-syntax-dynamic-import,7.8.3,https://registry.npmjs.org/@babel/plugin-syntax-dynamic-import/-/plugin-syntax-dynamic-import-7.8.3.tgz
@babel/plugin-syntax-export-namespace-from,7.8.3,https://registry.npmjs.org/@babel/plugin-syntax-export-namespace-from/-/plugin-syntax-export-namespace-from-7.8.3.tgz
@babel/plugin-syntax-flow,7.22.5,https://registry.npmjs.org/@babel/plugin-syntax-flow/-/plugin-syntax-flow-7.22.5.tgz
@babel/plugin-syntax-import-assertions,7.22.5,https://registry.npmjs.org/@babel/plugin-syntax-import-assertions/-/plugin-syntax-import-assertions-7.22.5.tgz
@babel/plugin-syntax-import-attributes,7.22.5,https://registry.npmjs.org/@babel/plugin-syntax-import-attributes/-/plugin-syntax-import-attributes-7.22.5.tgz
@babel/plugin-syntax-import-meta,7.10.4,https://registry.npmjs.org/@babel/plugin-syntax-import-meta/-/plugin-syntax-import-meta-7.10.4.tgz
@babel/plugin-syntax-json-strings,7.8.3,https://registry.npmjs.org/@babel/plugin-syntax-json-strings/-/plugin-syntax-json-strings-7.8.3.tgz
@babel/plugin-syntax-jsx,7.22.5,https://registry.npmjs.org/@babel/plugin-syntax-jsx/-/plugin-syntax-jsx-7.22.5.tgz
@babel/plugin-syntax-logical-assignment-operators,7.10.4,https://registry.npmjs.org/@babel/plugin-syntax-logical-assignment-operators/-/plugin-syntax-logical-assignment-operators-7.10.4.tgz
@babel/plugin-syntax-nullish-coalescing-operator,7.8.3,https://registry.npmjs.org/@babel/plugin-syntax-nullish-coalescing-operator/-/plugin-syntax-nullish-coalescing-operator-7.8.3.tgz
@babel/plugin-syntax-numeric-separator,7.10.4,https://registry.npmjs.org/@babel/plugin-syntax-numeric-separator/-/plugin-syntax-numeric-separator-7.10.4.tgz
@babel/plugin-syntax-object-rest-spread,7.8.3,https://registry.npmjs.org/@babel/plugin-syntax-object-rest-spread/-/plugin-syntax-object-rest-spread-7.8.3.tgz
@babel/plugin-syntax-optional-catch-binding,7.8.3,https://registry.npmjs.org/@babel/plugin-syntax-optional-catch-binding/-/plugin-syntax-optional-catch-binding-7.8.3.tgz
@babel/plugin-syntax-optional-chaining,7.8.3,https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.8.3.tgz
@babel/plugin-syntax-private-property-in-object,7.14.5,https://registry.npmjs.org/@babel/plugin-syntax-private-property-in-object/-/plugin-syntax-private-property-in-object-7.14.5.tgz
@babel/plugin-syntax-top-level-await,7.14.5,https://registry.npmjs.org/@babel/plugin-syntax-top-level-await/-/plugin-syntax-top-level-await-7.14.5.tgz
@babel/plugin-syntax-typescript,7.22.5,https://registry.npmjs.org/@babel/plugin-syntax-typescript/-/plugin-syntax-typescript-7.22.5.tgz
@babel/plugin-syntax-unicode-sets-regex,7.18.6,https://registry.npmjs.org/@babel/plugin-syntax-unicode-sets-regex/-/plugin-syntax-unicode-sets-regex-7.18.6.tgz
@babel/plugin-transform-arrow-functions,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-arrow-functions/-/plugin-transform-arrow-functions-7.22.5.tgz
@babel/plugin-transform-async-generator-functions,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-async-generator-functions/-/plugin-transform-async-generator-functions-7.22.5.tgz
@babel/plugin-transform-async-to-generator,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-async-to-generator/-/plugin-transform-async-to-generator-7.22.5.tgz
@babel/plugin-transform-block-scoped-functions,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-block-scoped-functions/-/plugin-transform-block-scoped-functions-7.22.5.tgz
@babel/plugin-transform-block-scoping,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-block-scoping/-/plugin-transform-block-scoping-7.22.5.tgz
@babel/plugin-transform-class-properties,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-class-properties/-/plugin-transform-class-properties-7.22.5.tgz
@babel/plugin-transform-class-static-block,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-class-static-block/-/plugin-transform-class-static-block-7.22.5.tgz
@babel/plugin-transform-classes,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-classes/-/plugin-transform-classes-7.22.5.tgz
@babel/plugin-transform-computed-properties,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-computed-properties/-/plugin-transform-computed-properties-7.22.5.tgz
@babel/plugin-transform-destructuring,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-destructuring/-/plugin-transform-destructuring-7.22.5.tgz
@babel/plugin-transform-dotall-regex,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-dotall-regex/-/plugin-transform-dotall-regex-7.22.5.tgz
@babel/plugin-transform-duplicate-keys,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-duplicate-keys/-/plugin-transform-duplicate-keys-7.22.5.tgz
@babel/plugin-transform-dynamic-import,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-dynamic-import/-/plugin-transform-dynamic-import-7.22.5.tgz
@babel/plugin-transform-exponentiation-operator,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-exponentiation-operator/-/plugin-transform-exponentiation-operator-7.22.5.tgz
@babel/plugin-transform-export-namespace-from,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-export-namespace-from/-/plugin-transform-export-namespace-from-7.22.5.tgz
@babel/plugin-transform-flow-strip-types,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-flow-strip-types/-/plugin-transform-flow-strip-types-7.22.5.tgz
@babel/plugin-transform-for-of,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-for-of/-/plugin-transform-for-of-7.22.5.tgz
@babel/plugin-transform-function-name,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-function-name/-/plugin-transform-function-name-7.22.5.tgz
@babel/plugin-transform-json-strings,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-json-strings/-/plugin-transform-json-strings-7.22.5.tgz
@babel/plugin-transform-literals,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-literals/-/plugin-transform-literals-7.22.5.tgz
@babel/plugin-transform-logical-assignment-operators,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-logical-assignment-operators/-/plugin-transform-logical-assignment-operators-7.22.5.tgz
@babel/plugin-transform-member-expression-literals,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-member-expression-literals/-/plugin-transform-member-expression-literals-7.22.5.tgz
@babel/plugin-transform-modules-amd,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-modules-amd/-/plugin-transform-modules-amd-7.22.5.tgz
@babel/plugin-transform-modules-commonjs,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-modules-commonjs/-/plugin-transform-modules-commonjs-7.22.5.tgz
@babel/plugin-transform-modules-systemjs,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-modules-systemjs/-/plugin-transform-modules-systemjs-7.22.5.tgz
@babel/plugin-transform-modules-umd,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-modules-umd/-/plugin-transform-modules-umd-7.22.5.tgz
@babel/plugin-transform-named-capturing-groups-regex,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-named-capturing-groups-regex/-/plugin-transform-named-capturing-groups-regex-7.22.5.tgz
@babel/plugin-transform-new-target,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-new-target/-/plugin-transform-new-target-7.22.5.tgz
@babel/plugin-transform-nullish-coalescing-operator,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-nullish-coalescing-operator/-/plugin-transform-nullish-coalescing-operator-7.22.5.tgz
@babel/plugin-transform-numeric-separator,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-numeric-separator/-/plugin-transform-numeric-separator-7.22.5.tgz
@babel/plugin-transform-object-rest-spread,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-object-rest-spread/-/plugin-transform-object-rest-spread-7.22.5.tgz
@babel/plugin-transform-object-super,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-object-super/-/plugin-transform-object-super-7.22.5.tgz
@babel/plugin-transform-optional-catch-binding,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-optional-catch-binding/-/plugin-transform-optional-catch-binding-7.22.5.tgz
@babel/plugin-transform-optional-chaining,7.22.5,N/A
@babel/plugin-transform-parameters,7.22.5,N/A
@babel/plugin-transform-private-methods,7.22.5,https://registry.npmjs.org/@babel/plugin-transform-private-methods/-/plugin-transform-private-methods-7.22.5.tgz
