name,version
@adobe/css-tools,4.4.4
@alloc/quick-lru,5.2.0
@ampproject/remapping,2.2.1
@apideck/better-ajv-errors,0.3.6
@atlaskit/adf-schema,48.0.0
@atlaskit/analytics-next,11.1.3
@atlaskit/analytics-next-stable-react-context,1.0.1
@atlaskit/app-provider,3.3.2
@atlaskit/atlassian-context,0.2.0
@atlaskit/browser-apis,0.0.1
@atlaskit/button,23.9.4
@atlaskit/codemod-utils,4.2.5
@atlaskit/css,0.17.1
@atlaskit/css,0.19.1
@atlaskit/css-reset,6.16.0
@atlaskit/ds-lib,2.7.0
@atlaskit/ds-lib,3.5.1
@atlaskit/ds-lib,5.3.0
@atlaskit/editor-prosemirror,7.2.2
@atlaskit/feature-gate-js-client,4.26.5
@atlaskit/focus-ring,3.0.9
@atlaskit/icon,29.4.2
@atlaskit/interaction-context,3.1.0
@atlaskit/layering,3.6.0
@atlaskit/motion,5.3.10
@atlaskit/platform-feature-flags,0.3.0
@atlaskit/platform-feature-flags,1.1.1
@atlaskit/popper,7.1.7
@atlaskit/portal,5.2.0
@atlaskit/primitives,17.1.1
@atlaskit/spinner,19.0.9
@atlaskit/theme,16.0.0
@atlaskit/theme,21.0.4
@atlaskit/tokens,1.61.0
@atlaskit/tokens,10.0.0
@atlaskit/tokens,3.3.2
@atlaskit/tokens,8.6.1
@atlaskit/tooltip,20.14.1
@atlaskit/visually-hidden,3.0.4
@babel/code-frame,7.27.1
@babel/compat-data,7.22.5
@babel/core,7.22.5
@babel/eslint-parser,7.22.5
@babel/generator,7.28.0
@babel/helper-annotate-as-pure,7.22.5
@babel/helper-builder-binary-assignment-operator-visitor,7.22.5
@babel/helper-compilation-targets,7.22.5
@babel/helper-create-class-features-plugin,7.22.5
@babel/helper-create-regexp-features-plugin,7.22.5
@babel/helper-define-polyfill-provider,0.4.0
@babel/helper-environment-visitor,7.22.5
@babel/helper-function-name,7.22.5
@babel/helper-hoist-variables,7.22.5
@babel/helper-member-expression-to-functions,7.22.5
@babel/helper-module-imports,7.22.5
@babel/helper-module-transforms,7.22.5
@babel/helper-optimise-call-expression,7.22.5
@babel/helper-plugin-utils,7.22.5
@babel/helper-remap-async-to-generator,7.22.5
@babel/helper-replace-supers,7.22.5
@babel/helper-simple-access,7.22.5
@babel/helper-skip-transparent-expression-wrappers,7.22.5
@babel/helper-split-export-declaration,7.22.5
@babel/helper-validator-identifier,7.27.1
